,city,city_id,date,lat,lon,country,maxTemp,cloudiness,humidity,windSpeed
71,karratha,6620339,01 Apr 2019,-20.74,116.85,AU,297.75,0,92,3.52
72,posse,3452599,01 Apr 2019,-14.08,-46.36,BR,302.8,8,67,2.02
73,hopelchen,3527065,01 Apr 2019,19.77,-89.85,MX,305.15,20,43,4.1
74,klaksvik,2618795,01 Apr 2019,62.23,-6.59,FO,275.15,64,93,4.6
75,albany,5106834,01 Apr 2019,42.65,-73.75,US,278.15,1,29,7.7
76,savannah bight,3601402,01 Apr 2019,16.45,-85.85,HN,300.1,0,97,3.37
77,saint-joseph,3037456,01 Apr 2019,43.56,6.97,FR,289.15,0,51,1.5
78,hilo,5855927,01 Apr 2019,19.71,-155.08,US,296.48,90,73,1.5
79,tasiilaq,3424607,01 Apr 2019,65.61,-37.64,GL,269.15,90,62,6.2
80,seoul,1835848,01 Apr 2019,37.57,126.98,KR,277.15,1,86,0.5
81,phimai,1607716,01 Apr 2019,15.22,102.49,TH,304.26,48,69,2.6
82,upernavik,3418910,01 Apr 2019,72.79,-56.15,GL,265.15,8,100,3.59
83,meulaboh,1214488,01 Apr 2019,4.14,96.13,ID,300.3,92,100,0.14
84,huarmey,3939168,01 Apr 2019,-10.07,-78.15,PE,298.3,44,65,1.84
85,pangody,1495626,01 Apr 2019,65.85,74.49,RU,267.8,36,85,4.87
86,kapaa,5848280,01 Apr 2019,22.08,-159.32,US,295.93,20,73,3.1
87,mae hong son,1152222,01 Apr 2019,19.3,97.96,MM,292.0,0,68,0.72
88,kyren,2021031,01 Apr 2019,51.68,102.13,RU,264.4,0,69,0.84
89,tual,1623197,01 Apr 2019,-5.67,132.75,ID,299.55,68,100,5.49
90,chicama,3698359,01 Apr 2019,-7.84,-79.15,PE,295.15,40,83,6.2
91,namie,2111704,01 Apr 2019,37.52,140.86,JP,277.04,24,56,2.24
92,victor harbor,2059470,01 Apr 2019,-35.55,138.62,AU,285.37,0,87,1.5
93,ankara,323786,01 Apr 2019,39.92,32.85,TR,282.15,40,56,4.6
94,bulungu,2316259,01 Apr 2019,-4.54,18.6,CD,298.05,8,88,1.72
95,pevek,2122090,01 Apr 2019,69.7,170.27,RU,259.75,36,68,2.57
96,wageningen,2745088,01 Apr 2019,51.98,5.66,NL,286.48,0,61,1.5
97,ixtapa,4004293,01 Apr 2019,20.71,-105.21,MX,299.15,5,65,2.1
98,tursunzoda,1220301,01 Apr 2019,38.51,68.23,UZ,288.15,20,51,2.0
99,puerto escondido,3520994,01 Apr 2019,15.86,-97.07,MX,302.15,5,70,4.1
100,bethel,5880568,01 Apr 2019,60.79,-161.76,US,274.15,90,86,2.02
101,verkhnevilyuysk,2013639,01 Apr 2019,63.45,120.31,RU,267.1,0,82,2.87
102,puerto ayora,3652764,01 Apr 2019,-0.74,-90.35,EC,303.15,20,70,7.2
103,dunedin,2191562,01 Apr 2019,-45.87,170.5,NZ,282.59,36,68,7.6
104,gazanjyk,161974,01 Apr 2019,39.24,55.52,TM,285.6,68,76,5.27
105,san patricio,3437029,01 Apr 2019,-26.98,-56.83,PY,302.15,48,71,1.17
106,bakel,2252606,01 Apr 2019,14.9,-12.46,SN,311.9,0,22,2.62
107,dikson,1507390,01 Apr 2019,73.51,80.55,RU,269.15,24,94,10.84
108,bambous virieux,1106677,01 Apr 2019,-20.34,57.76,MU,297.59,20,83,1.0
109,lorengau,2092164,01 Apr 2019,-2.02,147.27,PG,301.45,48,98,5.09
110,dingle,1714733,01 Apr 2019,11.0,122.67,PH,296.75,36,91,5.17
111,najran,103630,01 Apr 2019,17.54,44.22,SA,303.15,40,28,4.1
112,basco,4863349,01 Apr 2019,40.33,-91.2,US,283.71,1,46,7.2
113,kaduqli,373141,01 Apr 2019,11.01,29.72,SD,300.1,0,22,3.99
114,alta floresta,6316343,01 Apr 2019,-9.87,-56.08,BR,306.15,75,59,1.5
115,namibe,3347019,01 Apr 2019,-15.19,12.15,AO,300.55,20,94,7.79
116,nouadhibou,2377457,01 Apr 2019,20.93,-17.03,MR,294.15,0,68,6.7
117,darhan,2031964,01 Apr 2019,49.49,105.92,MN,268.8,24,66,2.34
118,grindavik,3416888,01 Apr 2019,63.84,-22.43,IS,274.82,75,80,7.2
119,sisimiut,3419842,01 Apr 2019,66.94,-53.67,GL,267.75,44,88,1.14
120,buala,2109528,01 Apr 2019,-8.15,159.59,SB,300.05,80,97,2.39
121,sorland,3137469,01 Apr 2019,67.67,12.69,NO,278.15,75,98,0.5
122,ciudad bolivar,3645532,01 Apr 2019,8.12,-63.55,VE,309.9,0,30,5.79
123,sitka,4267710,01 Apr 2019,37.17,-99.65,US,284.82,0,53,4.02
124,sao filipe,3374210,01 Apr 2019,14.9,-24.5,CV,295.4,0,93,6.52
125,baykalovo,581049,01 Apr 2019,64.58,40.26,RU,272.15,40,54,4.0
126,cururupu,3401148,01 Apr 2019,-1.82,-44.87,BR,297.5,92,100,2.14
127,tezu,1254709,01 Apr 2019,27.93,96.16,IN,285.0,92,100,0.67
128,luderitz,3355672,01 Apr 2019,-26.65,15.16,NA,291.05,0,68,9.64
129,longyearbyen,2729907,01 Apr 2019,78.22,15.63,NO,261.15,20,60,5.1
130,luanda,2240449,01 Apr 2019,-8.83,13.24,AO,303.15,20,74,3.1
131,nago,3172402,01 Apr 2019,45.88,10.89,IT,293.15,0,36,1.0
132,lasa,146639,01 Apr 2019,34.92,32.53,CY,287.15,40,76,1.5
133,mahebourg,934322,01 Apr 2019,-20.41,57.7,MU,297.59,20,83,1.0
134,tuktoyaktuk,6170031,01 Apr 2019,69.44,-133.03,CA,257.15,20,84,4.6
135,haines junction,5969025,01 Apr 2019,60.75,-137.51,CA,274.75,0,51,0.77
136,baghdad,98182,01 Apr 2019,33.3,44.38,IQ,285.45,8,91,3.69
137,kavieng,2094342,01 Apr 2019,-2.57,150.8,PG,301.6,20,100,4.89
138,sindor,492860,01 Apr 2019,62.87,51.9,RU,268.7,12,76,3.77
139,hay river,5972762,01 Apr 2019,60.82,-115.79,CA,270.15,40,63,7.2
140,bonfim,3379316,01 Apr 2019,3.36,-59.84,GY,311.0,0,30,5.94
141,ancud,3899695,01 Apr 2019,-41.87,-73.83,CL,285.15,75,87,9.3
142,ponta do sol,3453439,01 Apr 2019,-20.63,-46.0,BR,299.65,64,63,1.84
143,carnarvon,1014034,01 Apr 2019,-30.97,22.13,ZA,286.5,0,29,4.97
144,merauke,2082539,01 Apr 2019,-8.49,140.4,ID,297.25,92,100,3.09
145,beira,3119841,01 Apr 2019,43.2,-8.36,ES,290.37,0,77,4.1
146,araceli,1730272,01 Apr 2019,10.55,119.99,PH,301.0,0,95,10.57
147,kodiak,4407665,01 Apr 2019,39.95,-94.76,US,286.48,1,13,7.2
148,chapais,5919850,01 Apr 2019,49.78,-74.86,CA,269.15,75,53,4.6
149,fortuna,2517679,01 Apr 2019,38.18,-1.13,ES,289.15,40,77,3.6
150,san pedro,3428576,01 Apr 2019,-33.68,-59.66,AR,296.7,92,90,4.19
151,kruisfontein,986717,01 Apr 2019,-34.0,24.73,ZA,288.55,8,73,6.09
152,iqaluit,5983720,01 Apr 2019,63.75,-68.52,CA,259.15,40,71,2.6
153,severo-kurilsk,2121385,01 Apr 2019,50.68,156.12,RU,270.45,88,100,2.87
154,moyuta,3592322,01 Apr 2019,14.04,-90.08,GT,305.25,0,47,2.42
155,mar del plata,3863379,01 Apr 2019,-46.43,-67.52,AR,294.25,92,47,9.27
156,rio gallegos,3838859,01 Apr 2019,-51.62,-69.22,AR,288.15,75,51,2.1
157,port lincoln,2063036,01 Apr 2019,-34.72,135.86,AU,288.35,0,100,4.97
158,ilulissat,3423146,01 Apr 2019,69.22,-51.1,GL,264.15,20,66,10.8
159,manicore,3663503,01 Apr 2019,-5.81,-61.3,BR,306.15,40,55,2.1
160,launceston,2160517,01 Apr 2019,-41.43,147.14,AU,284.26,90,81,2.1
161,aklavik,5882953,01 Apr 2019,68.22,-135.01,CA,267.15,75,85,2.1
162,denpasar,1645528,01 Apr 2019,-8.65,115.22,ID,299.15,20,88,2.1
163,conde,3465713,01 Apr 2019,-11.81,-37.61,BR,301.7,48,86,2.97
164,maamba,908718,01 Apr 2019,-17.36,27.22,ZM,295.3,0,48,1.74
165,taksimo,2015701,01 Apr 2019,56.36,114.84,RU,258.95,0,70,0.69
166,half moon bay,5354943,01 Apr 2019,37.46,-122.43,US,292.59,90,82,2.6
167,ardakan,143073,01 Apr 2019,32.31,54.02,IR,295.15,20,35,3.1
168,homer,5864145,01 Apr 2019,59.64,-151.54,US,278.71,40,86,2.6
169,barrow,3833859,01 Apr 2019,-38.31,-60.23,AR,303.1,8,38,3.97
170,senneterre,6144195,01 Apr 2019,48.39,-77.24,CA,275.15,75,34,4.6
171,nanortalik,3421765,01 Apr 2019,60.14,-45.24,GL,271.0,92,100,7.54
172,daia,679822,01 Apr 2019,43.99,25.99,RO,288.71,0,43,6.7
173,yugorsk,1502725,01 Apr 2019,61.32,63.33,RU,273.1,80,93,5.64
174,tazmalt,2477537,01 Apr 2019,36.39,4.4,DZ,290.15,75,88,2.1
175,tarakan,1624725,01 Apr 2019,3.3,117.63,ID,299.55,44,100,1.07
176,salvador,3450554,01 Apr 2019,-12.98,-38.48,BR,302.15,40,79,3.6
177,dabhol,1273765,01 Apr 2019,17.6,73.17,IN,297.15,0,99,2.64
178,port elizabeth,4501427,01 Apr 2019,39.31,-74.98,US,282.04,1,33,6.7
179,cidreira,3466165,01 Apr 2019,-30.17,-50.22,BR,301.0,0,69,4.49
180,charters towers,2171722,01 Apr 2019,-20.07,146.27,AU,292.2,44,96,2.84
181,geraldton,5960603,01 Apr 2019,49.72,-86.95,CA,273.15,75,67,4.6
182,lebu,344979,01 Apr 2019,8.96,38.73,ET,290.15,75,63,5.7
183,kalininsk,554199,01 Apr 2019,51.5,44.48,RU,274.15,36,92,3.14
184,codrington,2160063,01 Apr 2019,-28.95,153.24,AU,291.15,75,93,1.34
185,puerto narino,3671387,01 Apr 2019,-3.77,-70.38,CO,299.15,75,94,2.1
186,huangzhai,1807687,01 Apr 2019,23.86,112.01,CN,289.4,100,100,1.29
187,mattru,2409215,01 Apr 2019,7.62,-11.83,SL,305.0,44,62,3.42
188,clermont,2171365,01 Apr 2019,-22.82,147.64,AU,286.55,0,84,2.17
189,barcelona,3128760,01 Apr 2019,41.38,2.18,ES,288.71,0,76,2.6
190,takoradi,2294915,01 Apr 2019,4.89,-1.75,GH,302.0,0,95,3.99
191,arcelia,4018320,01 Apr 2019,18.32,-100.28,MX,302.3,0,20,1.37
192,halifax,6324729,01 Apr 2019,44.65,-63.58,CA,277.59,75,59,9.8
193,souillac,3026644,01 Apr 2019,45.6,-0.6,FR,288.15,0,62,5.1
194,phan thiet,1571058,01 Apr 2019,10.93,108.1,VN,298.75,0,99,4.94
195,swan hill,2147756,01 Apr 2019,-35.34,143.56,AU,280.95,0,87,1.34
196,mascota,3996472,01 Apr 2019,20.53,-104.79,MX,299.15,5,65,2.1
197,ewa beach,5855051,01 Apr 2019,21.32,-158.01,US,297.59,1,69,1.5
198,nador,2541479,01 Apr 2019,35.17,-2.93,MA,290.15,0,72,2.1
199,itoman,1861280,01 Apr 2019,26.12,127.67,JP,288.15,20,51,4.1
200,puksoozero,504187,01 Apr 2019,62.59,40.61,RU,270.7,12,88,3.19
201,fonte boa,3664207,01 Apr 2019,-2.51,-66.09,BR,305.75,24,63,1.67
202,fukue,1848373,01 Apr 2019,35.03,136.69,JP,279.15,20,100,8.7
203,lavrentiya,4031637,01 Apr 2019,65.58,-170.99,RU,268.5,76,99,0.47
204,yelovo,467711,01 Apr 2019,57.05,54.92,RU,271.9,0,94,1.84
205,norman wells,6089245,01 Apr 2019,65.28,-126.83,CA,270.15,90,73,4.1
206,katsuura,1865309,01 Apr 2019,33.93,134.5,JP,278.71,20,60,2.1
207,megion,1499053,01 Apr 2019,61.04,76.11,RU,275.15,0,69,6.0
208,tura,1254046,01 Apr 2019,25.52,90.21,IN,291.15,8,95,1.89
209,waitati,2179825,01 Apr 2019,-45.75,170.57,NZ,282.59,36,68,7.6
210,deputatskiy,2028164,01 Apr 2019,69.3,139.9,RU,248.0,0,38,1.92
211,clyde river,5924351,01 Apr 2019,70.47,-68.59,CA,255.15,75,84,2.6
212,isangel,2136825,01 Apr 2019,-19.55,169.27,VU,294.15,100,94,0.5
213,juneau,5554072,01 Apr 2019,58.3,-134.42,US,280.15,20,74,1.5
214,wajima,1848976,01 Apr 2019,37.4,136.9,JP,277.2,88,100,4.14
215,mopipi,933288,01 Apr 2019,-21.2,24.86,BW,301.0,36,37,4.14
216,rayagada,1258289,01 Apr 2019,19.17,83.42,IN,290.5,8,92,0.62
217,narsaq,3421719,01 Apr 2019,60.91,-46.05,GL,268.15,75,49,1.5
218,lac-megantic,6032673,01 Apr 2019,45.58,-70.88,CA,269.82,75,45,10.8
219,hovd,7626384,01 Apr 2019,63.83,10.7,NO,278.15,0,86,2.6
220,cherskiy,2126199,01 Apr 2019,68.75,161.3,RU,262.5,88,66,1.74
221,saskylakh,2017155,01 Apr 2019,71.97,114.09,RU,261.0,0,66,1.69
222,beringovskiy,2126710,01 Apr 2019,63.05,179.32,RU,271.5,80,90,4.22
223,arlit,2447513,01 Apr 2019,18.74,7.39,NE,304.45,0,24,1.22
224,ambunti,2100933,01 Apr 2019,-4.22,142.82,PG,296.5,92,100,0.94
225,vila franca do campo,3372472,01 Apr 2019,37.72,-25.43,PT,287.15,75,71,10.3
226,maniitsoq,3421982,01 Apr 2019,65.42,-52.9,GL,267.75,8,86,3.99
227,igarka,1505991,01 Apr 2019,67.47,86.57,RU,268.65,76,87,4.77
228,gararu,3399051,01 Apr 2019,-9.97,-37.08,BR,302.95,76,69,4.87
229,cedro,3402340,01 Apr 2019,-6.61,-39.06,BR,300.5,92,87,2.07
230,lakatoro,2136697,01 Apr 2019,-16.11,167.42,VU,299.4,48,99,4.37
231,gazimurskiy zavod,2024122,01 Apr 2019,51.55,118.33,RU,257.8,0,72,1.44
232,padang,1633419,01 Apr 2019,-0.92,100.36,ID,301.4,80,100,1.37
233,makasar,1642911,01 Apr 2019,-6.28,106.88,ID,299.82,20,83,3.6
234,orange cove,5379533,01 Apr 2019,36.62,-119.31,US,297.04,1,43,2.1
235,cabo san lucas,3985710,01 Apr 2019,22.89,-109.91,MX,303.15,5,41,5.1
236,ritchie,961226,01 Apr 2019,-29.03,24.6,ZA,292.15,0,29,1.0
237,mehamn,778707,01 Apr 2019,71.03,27.85,NO,272.15,40,74,5.1
238,loudi,1802238,01 Apr 2019,27.73,112.0,CN,285.8,76,88,0.79
239,rebrikha,1493722,01 Apr 2019,53.08,82.34,RU,265.9,0,76,1.59
240,aksu,1524298,01 Apr 2019,52.04,76.93,KZ,277.15,0,80,1.0
241,garden city,5118226,01 Apr 2019,40.73,-73.63,US,281.48,1,33,5.7
242,boyuibe,3923015,01 Apr 2019,-20.43,-63.28,BO,300.15,75,69,2.1
243,viransehir,298033,01 Apr 2019,37.24,39.76,TR,283.55,80,95,2.97
244,kamphaeng phet,1153090,01 Apr 2019,16.47,99.53,TH,300.25,48,63,2.84
245,esperance,3573739,01 Apr 2019,10.24,-61.45,TT,305.15,40,46,7.2
246,itarema,3393692,01 Apr 2019,-2.92,-39.92,BR,301.7,76,91,2.19
247,gumdag,161943,01 Apr 2019,39.2,54.59,TM,286.65,92,92,3.39
248,douentza,2458334,01 Apr 2019,15.01,-2.95,ML,309.2,64,31,1.24
249,college,5859699,01 Apr 2019,64.86,-147.8,US,277.59,1,82,1.5
250,upata,3625710,01 Apr 2019,8.02,-62.41,VE,306.48,0,46,2.68
251,jumla,1283285,01 Apr 2019,29.28,82.18,NP,270.15,0,94,1.04
252,pangkalanbuun,1632694,01 Apr 2019,-2.68,111.62,ID,296.15,32,94,1.02
253,thompson,6165406,01 Apr 2019,55.74,-97.86,CA,273.15,90,74,4.1
254,brae,2654970,01 Apr 2019,60.4,-1.35,GB,279.15,80,75,12.3
255,new norfolk,2155415,01 Apr 2019,-42.78,147.06,AU,280.37,20,87,4.6
256,north bend,5742974,01 Apr 2019,43.41,-124.22,US,287.04,90,100,0.72
257,caravelas,3466980,01 Apr 2019,-17.73,-39.27,BR,300.4,0,100,4.27
258,morehead,4301307,01 Apr 2019,38.18,-83.43,US,279.82,1,28,2.1
259,bathsheba,3374083,01 Apr 2019,13.22,-59.52,BB,302.15,40,62,9.8
260,tuma,480484,01 Apr 2019,55.15,40.55,RU,272.04,100,66,1.79
261,mbaiki,2384770,01 Apr 2019,3.87,17.99,CF,298.2,12,87,0.92
262,egvekinot,4031742,01 Apr 2019,66.32,-179.17,RU,267.9,64,91,0.77
263,fernley,5504003,01 Apr 2019,39.61,-119.25,US,288.71,75,35,2.1
264,russell,3844421,01 Apr 2019,-33.01,-68.8,AR,299.15,20,47,1.5
265,guerrero negro,4021858,01 Apr 2019,27.97,-114.04,MX,298.3,8,35,1.57
266,orotina,3622660,01 Apr 2019,9.91,-84.53,CR,304.15,0,38,2.1
267,verkhnyaya inta,1487332,01 Apr 2019,65.99,60.32,RU,270.8,80,79,3.24
268,saldanha,2737599,01 Apr 2019,41.42,-6.55,PT,289.25,92,39,2.17
269,guhagar,1270779,01 Apr 2019,17.48,73.19,IN,297.15,0,99,2.64
270,oktyabrskiy,515873,01 Apr 2019,55.61,37.97,RU,275.37,75,80,6.0
271,goure,2444219,01 Apr 2019,13.98,10.27,NE,307.15,8,11,5.19
272,westport,2960970,01 Apr 2019,53.8,-9.52,IE,278.71,75,93,3.6
273,okhotsk,2122605,01 Apr 2019,59.36,143.24,RU,265.75,12,87,3.42
274,makakilo city,5850554,01 Apr 2019,21.35,-158.09,US,297.59,1,69,1.5
275,marienburg,2803461,01 Apr 2019,52.12,9.98,DE,282.59,0,36,4.1
276,ahipara,2194098,01 Apr 2019,-35.17,173.16,NZ,290.55,36,100,5.19
277,ponta delgada,3372783,01 Apr 2019,37.73,-25.67,PT,287.15,75,71,10.3
278,birjand,140463,01 Apr 2019,32.86,59.22,IR,292.15,90,33,8.2
279,nelson bay,2155562,01 Apr 2019,-32.72,152.14,AU,291.48,75,100,3.1
280,meadow lake,6071421,01 Apr 2019,54.13,-108.44,CA,278.15,90,56,9.3
