,city,city_id,date,lat,lon,country,maxTemp,cloudiness,humidity,windSpeed
71,karratha,6620339,01 Apr 2019,-20.74,116.85,AU,76.21,0,90,7.52
72,posse,3452599,01 Apr 2019,-14.08,-46.36,BR,81.25,64,61,3.04
73,hopelchen,3527065,01 Apr 2019,19.77,-89.85,MX,86.0,20,58,11.41
74,klaksvik,2618795,01 Apr 2019,62.23,-6.59,FO,35.6,68,93,4.7
75,albany,5106834,01 Apr 2019,42.65,-73.75,US,43.0,20,25,19.46
76,savannah bight,3601402,01 Apr 2019,16.45,-85.85,HN,80.71,0,99,11.32
77,saint-joseph,3037456,01 Apr 2019,43.56,6.97,FR,60.01,0,62,2.24
78,hilo,5855927,01 Apr 2019,19.71,-155.08,US,80.01,1,61,5.06
79,tasiilaq,3424607,01 Apr 2019,65.61,-37.64,GL,24.8,0,68,9.17
80,seoul,1835848,01 Apr 2019,37.57,126.98,KR,37.4,1,79,1.12
81,phimai,1607716,01 Apr 2019,15.22,102.49,TH,87.01,48,73,2.24
82,upernavik,3418910,01 Apr 2019,72.79,-56.15,GL,17.44,56,100,7.0
83,meulaboh,1214488,01 Apr 2019,4.14,96.13,ID,77.38,92,100,4.32
84,huarmey,3939168,01 Apr 2019,-10.07,-78.15,PE,76.3,44,63,4.54
85,pangody,1495626,01 Apr 2019,65.85,74.49,RU,23.29,68,89,9.35
86,kapaa,5848280,01 Apr 2019,22.08,-159.32,US,77.0,20,69,4.7
87,mae hong son,1152222,01 Apr 2019,19.3,97.96,MM,63.34,0,73,1.86
88,kyren,2021031,01 Apr 2019,51.68,102.13,RU,13.39,48,63,1.7
89,tual,1623197,01 Apr 2019,-5.67,132.75,ID,80.35,56,100,11.77
90,chicama,3698359,01 Apr 2019,-7.84,-79.15,PE,73.4,75,73,14.99
91,namie,2111704,01 Apr 2019,37.52,140.86,JP,36.0,0,80,8.63
92,victor harbor,2059470,01 Apr 2019,-35.55,138.62,AU,55.0,0,87,5.82
93,ankara,323786,01 Apr 2019,39.92,32.85,TR,45.0,0,81,4.7
94,bulungu,2316259,01 Apr 2019,-4.54,18.6,CD,75.49,36,90,2.98
95,pevek,2122090,01 Apr 2019,69.7,170.27,RU,20.77,12,73,14.34
96,wageningen,2745088,01 Apr 2019,51.98,5.66,NL,53.01,0,57,4.7
97,ixtapa,4004293,01 Apr 2019,20.71,-105.21,MX,79.0,5,69,13.87
98,tursunzoda,1220301,01 Apr 2019,38.51,68.23,UZ,59.0,20,54,2.24
99,puerto escondido,3520994,01 Apr 2019,15.86,-97.07,MX,86.0,5,66,9.17
100,bethel,5880568,01 Apr 2019,60.79,-161.76,US,39.2,75,69,3.36
101,verkhnevilyuysk,2013639,01 Apr 2019,63.45,120.31,RU,18.43,0,83,6.22
102,puerto ayora,3652764,01 Apr 2019,-0.74,-90.35,EC,86.0,20,70,14.99
103,dunedin,2191562,01 Apr 2019,-45.87,170.5,NZ,50.0,0,64,17.0
104,gazanjyk,161974,01 Apr 2019,39.24,55.52,TM,52.54,12,80,7.63
105,san patricio,3437029,01 Apr 2019,-26.98,-56.83,PY,81.97,88,74,2.26
106,bakel,2252606,01 Apr 2019,14.9,-12.46,SN,87.1,0,53,3.38
107,dikson,1507390,01 Apr 2019,73.51,80.55,RU,26.8,80,99,24.63
108,bambous virieux,1106677,01 Apr 2019,-20.34,57.76,MU,75.0,20,88,5.82
109,lorengau,2092164,01 Apr 2019,-2.02,147.27,PG,83.23,88,97,10.87
110,dingle,1714733,01 Apr 2019,11.0,122.67,PH,74.32,24,91,11.03
111,najran,103630,01 Apr 2019,17.54,44.22,SA,84.2,0,30,6.93
112,basco,4863349,01 Apr 2019,40.33,-91.2,US,54.0,1,40,14.99
113,kaduqli,373141,01 Apr 2019,11.01,29.72,SD,73.6,0,26,8.3
114,alta floresta,6316343,01 Apr 2019,-9.87,-56.08,BR,91.4,40,59,3.36
115,namibe,3347019,01 Apr 2019,-15.19,12.15,AO,80.98,8,94,14.94
116,nouadhibou,2377457,01 Apr 2019,20.93,-17.03,MR,66.2,0,77,11.41
117,darhan,2031964,01 Apr 2019,49.49,105.92,MN,23.56,20,61,5.55
118,grindavik,3416888,01 Apr 2019,63.84,-22.43,IS,34.0,40,100,17.22
119,sisimiut,3419842,01 Apr 2019,66.94,-53.67,GL,16.54,0,98,2.98
120,buala,2109528,01 Apr 2019,-8.15,159.59,SB,80.26,92,98,5.88
121,sorland,3137469,01 Apr 2019,67.67,12.69,NO,35.6,75,100,2.24
